Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,CumulativeCost,CostRate,AverageLossPi,StdLossPi,MaxLossPi,MinLossPi,AverageLossQR1,StdLossQR1,MaxLossQR1,MinLossQR1,AverageLossQC,StdLossQC,MaxLossQC,MinLossQC,AverageLossQCVar,StdLossQCVar,MaxLossQCVar,MinLossQCVar,AveragePiEntropy,StdPiEntropy,MaxPiEntropy,MinPiEntropy,TotalTime
1,-3365682.463,184295.383885714,-2556278.425,-4915341.302,58137.1000000000,237.563600000001,75704.8953653895,41102.1000000000,938083.300000000,17439.7852564103,349850.900000000,2487.68040000000,356510.900000000,343682.380000000,655752500,4903547,665580860,642083460,1794431.60000000,128157.810000000,2067124.80000000,1497019.20000000,1484240.20000000,119633.970000000,1745550.60000000,1211800.60000000,-10355.092,32.4490780000000,-10273.551,-10416.935,7.94225788116455
2,-3339239.541,283621.455028571,-2532674.794,-5046503.925,58250.3440000000,1906.81920000000,79296.5361908415,40043.8200000000,1845564.20000000,20983.7615384615,366721.300000000,7707.59570000000,381055.780000000,348383.440000000,693400770,12847398,718244030,667795300,1218701.90000000,134193.920000000,1614746,934364.750000000,954766.700000000,124086.266000000,1324423.80000000,692163.500000000,-10528.088,47.8859020000000,-10398.218,-10653.621,15.2091321945190
3,-3297576.26,313523.060628571,-2548072.978,-5020184.314,56611.4400000000,2550.19300000000,79046.4570217132,39247.8900000000,2727462.50000000,22770.3379120879,374143.840000000,3228.64620000000,381366.300000000,366368.470000000,703136000,5638119.50000000,716659300,691540540,1079597.40000000,72763.1400000000,1287926.10000000,948618.500000000,828756.200000000,66304.4100000000,1013077.60000000,703892.440000000,-10530.635,35.7041850000000,-10454.708,-10601.502,21.4797081947327
4,-3419440.118,159678.696731429,-2501183.411,-4929135.986,59683.2320000000,-156.0418,78219.4378579978,43668.9705000000,3656057.20000000,23848.3076923077,364919.840000000,4851.18750000000,375553.560000000,352948.880000000,695194750,8308074,711981060,676336450,1118968.20000000,73860.8200000000,1333057.60000000,933751.900000000,864933.100000000,67486.2900000000,1059687.90000000,700104.500000000,-10505.428,42.6953300000000,-10402.88,-10640.76,28.5001657009125
5,-3335229.775,141749.310960000,-2502981.543,-4954295.478,56649.8680000000,213.561800000000,74769.4786996883,40469.1420000000,4537921,24329.3811188811,358215.060000000,3098.96360000000,364393.300000000,349867.280000000,684603800,5484471.50000000,702710900,672555460,1213885.10000000,74719.3800000000,1409954.90000000,1061605.20000000,952140.200000000,68504.6300000000,1134064.80000000,818321.440000000,-10452.32,41.4090460000000,-10351.911,-10542.703,34.6105127334595
6,-3062760.252,121817.784314286,-2525179.265,-4961414.555,50828.7400000000,-689.44512,65743.5195467774,36677.6160000000,5333611.50000000,24567.2337278107,41345110,14983848,68856056,348656.560000000,50909524,122427560,659952800,6664235,298159.900000000,117601.680000000,1348807.40000000,128221.370000000,573014.400000000,111702.410000000,1073642.10000000,339271.720000000,-4195.229,1598.77430000000,-2617.5044,-10405.9795,45.5867378711700
7,-3340732.391,367461.303828571,-2569108.428,-5041793.106,56360.6440000000,3212.05240000000,80010.9703992584,39184.3200000000,6212797,23866.3179487180,77417420,10019054,104303660,59664064,18815586,6160794.50000000,36373856,8424816,172576.220000000,31908.5140000000,286080.280000000,116914.980000000,419625.300000000,78396.9500000000,655367.250000000,319551.560000000,-11599.159,1972.28330000000,-8760.062,-15700.21,53.5001146793366
8,-3426682.106,304937.144114286,-2556054.266,-5064786.398,55235.9800000000,2414.33560000000,77096.8662571241,38326.6350000000,7074469.50000000,25426.0497737557,119535550,20343814,167588720,81500776,54798464,17848694,131626830,21805136,245205.900000000,47306.1050000000,361839.160000000,153921.140000000,599493.500000000,122827.530000000,909455.200000000,338602.200000000,-17361.137,3746.16360000000,-9889.541,-22271.605,64.0386624336243
9,-3684481.656,398492.766074286,-2465716.964,-4912566.067,58369.8940000000,1966.38320000000,78759.3771203677,39676.8045000000,7983315.50000000,24966.7753036437,175093180,15057443,209549660,147348960,93237190,19788036,146092780,60067170,342822.300000000,56290.0430000000,458204.880000000,232855.980000000,834937.250000000,132519.550000000,1199374,602500.600000000,-12853.666,4858.58100000000,-5294.106,-19306.629,71.9186096191406
10,-3244238.373,300690.030577143,-2228634.094,-4373312.426,50141.4100000000,2446.10280000000,70892.1629889820,35140.9740000000,8767607,23446.0201465201,205007020,18856514,246612740,154813950,146518140,38812880,257427120,63465544,546023.500000000,83170.2200000000,767902.940000000,363907.300000000,1213870.20000000,171188.730000000,1694278.90000000,815842.200000000,-6299.3774,237.497820000000,-5819.9106,-6941.3037,82.3122041225433
11,-2488860.719,180135.138514286,-1970996.353,-3853729.947,35249.4120000000,377.011200000001,48525.9513629601,24621.2205000000,9328419,22106.5551839465,237881900,18253034,282736740,200072830,218148450,33340202,317821020,146072530,672245.600000000,68631.5300000000,891319.300000000,540128.440000000,1533736.60000000,147226.120000000,2132945.50000000,1214891.90000000,-5767.8604,208.493870000000,-5376.18,-6248.326,90.1979994773865
12,-1849783.236,52906.8230114286,-1663066.893,-3234690.23,20826.0250000000,-1620.0458,27040.6322422952,15214.8810000000,9673793,20942.6276923077,259424930,19306402,304599170,207612930,304639740,69318630,560569700,141019900,682201.060000000,71330.2660000000,854123.560000000,493235.720000000,1554587.50000000,146645.620000000,2029182.20000000,1240007.20000000,-6247.92,332.656740000000,-5513.7065,-7023.97,100.573695421219
13,-1807373.869,87585.9716971429,-1409157.452,-2706976.607,20396.0380000000,-1103.674,27143.0456269801,14271.5250000000,10012677,19913.7962962963,272694460,22329844,333450940,230484640,399023200,70074740,540538000,214856000,623234.560000000,71495.1800000000,760502.800000000,358330.470000000,1392931.80000000,135554.480000000,1778638.20000000,1069014.60000000,-6547.156,249.845350000000,-5959.1235,-7336.816,108.478330373764
