Epoch,AverageEpRet,MaxEpRet,MinEpRet,AverageEpCost1,MaxEpCost1,MinEpCost1,AverageEpCost2,MaxEpCost2,MinEpCost2,CumulativeCost1,CumulativeCost2,CostRate1,CostRate2,AverageLossPi,StdLossPi,MaxLossPi,MinLossPi,AverageLossQR1,StdLossQR1,MaxLossQR1,MinLossQR1,AverageLossQC1,StdLossQC1,MaxLossQC1,MinLossQC1,AverageLossQC2,StdLossQC2,MaxLossQC2,MinLossQC2,AveragePiEntropy,StdPiEntropy,MaxPiEntropy,MinPiEntropy,TotalTime
1,-552386800,-405567161,-1186388517,218523.16,218523.16,20385.56464,177033.75,177033.75,177033.75,35025,177033.75,17512.5,88516.875,35482532,1152150.8,38518840,32267070,5.66248E+11,5.17059E+11,3.7019E+12,2.58249E+11,1233.8008,62.178318,1399.4563,1067.7223,481500.6,44905.184,602444.56,359302.38,-76.722015,0.97932553,-73.93721,-79.740555,6.802294254
2,-543980900,-403827360.5,-1174403556,222333.38,222333.38,20741.01203,173504.61,173504.61,173504.61,69278,350538.34,23092.66667,116846.1146,35000052,1132682.6,38424890,31991488,6.04312E+11,4.77968E+11,2.79646E+12,2.49704E+11,1241.0585,70.01376,1415.1113,1044.9429,467384.12,48317.45,592974.8,337843.16,-76.78077,0.8816733,-74.58566,-78.8259,13.22971082
3,-554477950,-401453039.6,-1182755590,196276.02,196276.02,18310.17588,178553.39,178553.39,178553.39,104378,529092.25,26094.5,132273.0625,35384624,1102678.5,38770212,32999332,6.62695E+11,5.82659E+11,3.58685E+12,2.59732E+11,1235.0687,65.84333,1412.7849,1060.8123,476608.16,46410.02,600783.25,365647.78,-77.09012,1.0010535,-74.50802,-79.25595,19.65857458
4,-541804350,-295898312,-1166211735,214152.19,214152.19,19977.80607,173284.44,173284.44,173284.44,138519,702376.2,27703.8,140475.2375,35384480,1041876.8,38186456,32040948,5.62454E+11,4.18625E+11,2.03113E+12,2.56877E+11,1234.9797,65.93161,1465.4669,1090.7498,477376.44,52831.125,654930.75,356788.97,-77.179596,1.0370144,-73.9563,-79.92261,26.2535305
5,-544746700,-233408207.1,-1166470917,200642.88,200642.88,18717.55104,174880.98,174880.98,174880.98,172839,877257.2,28806.5,146209.5313,26083042,4239410,46331970,15122422,4.79796E+11,5.91689E+11,3.66798E+12,98902570000,503.0707,126.41419,1180.3613,334.403,513215.97,777971.44,4773845,44398.324,-319.5189,82.73449,-42.673523,-378.22687,35.58222175
6,-147011230,-194969836.6,-735980734,50566.516,50566.516,4717.243613,295.38162,295.38162,295.38162,177564,877552.56,25366.28571,125364.6518,27278024,1696556.9,32424592,23408062,4.82001E+11,5.97462E+11,2.27199E+12,1.02518E+11,576.08276,233.46898,2209.4023,311.57986,503383.8,840769,3646706.8,46822.22,-351.50095,96.68527,-134.81696,-526.42883,46.89494348
7,-133717190,-170909355.1,-718813197.1,105525.19,105525.19,9844.22238,0,0,0,181385,877552.56,22673.125,109694.0703,25959224,315946.62,26666228,25118044,4.41757E+11,5.42644E+11,2.35346E+12,1.10354E+11,568.0792,124.16597,1268.0552,343.98553,72773.67,14378.403,125394.84,39754.6,-312.58014,34.735382,-230.94072,-366.78757,58.7439003
8,-122810040,-154717977.1,-704226081.3,1326235.2,1326235.2,123721.6842,0,0,0,184058,877552.56,20450.88889,97505.84028,29024250,942220.1,31778846,26624880,7.50448E+11,1.14792E+12,6.9903E+12,1.37835E+11,1058.1307,2511.2473,19517.93,340.9545,248545.73,55721.39,411931.56,117585.94,-164.75977,32.430153,-135.26454,-266.57983,70.35782099
9,-119055690,-131246027.5,-697343086.7,545195.6,545195.6,50860.14749,0,0,0,186009,877552.56,18600.9,87755.25625,31873982,1021565.25,35047320,29625348,8.45722E+11,1.39359E+12,1.1547E+13,1.30311E+11,1033.7202,2203.2297,17191.703,294.2495,367544.1,62553.12,585121.1,224598.27,-135.36487,6.452467,-123.75215,-151.35533,82.3204391
10,-128671360,-108838691.2,-704848199.7,1329465.2,1329465.2,124023.0041,0,0,0,188998,877552.56,17181.63636,79777.50568,35056640,1260382.6,38598056,31394226,8.21402E+11,1.31589E+12,7.23435E+12,1.42276E+11,1308.6194,2358.916,12361.906,303.83875,556845,84540.53,825063.94,345301.72,-124.740585,4.6782336,-116.509766,-139.61185,93.55471635
11,-128513580,-87590196.98,-701860088.8,1317002.2,1317002.2,122860.3572,0,0,0,191983,877552.56,15998.58333,73129.38021,38866990,2110765.5,46339140,34034348,8.61326E+11,1.44239E+12,1.03416E+13,1.59522E+11,1241.2029,2603.0256,19629.727,296.56757,309186.8,176509.56,859316.1,146508.28,-138.40024,11.335521,-112.201675,-152.6952,105.3951125
12,-141029540,-69982679.07,-712511382.7,24006.162,53990.76413,2239.484214,1014.50323,1014.50323,1014.50323,196147,878567.06,15088.23077,67582.08173,43422324,2738952,51890796,37769024,1.02485E+12,1.33229E+12,5.81693E+12,1.69462E+11,3321.1924,6524.3447,31662.697,355.97665,175256.34,26878.342,244324.52,120344.1,-171.02985,16.242695,-145.34715,-208.82864,117.7154627
